enrolment_id,student_id,product_id,start_date,end_date,enrolment_status
ENR-B4EA33EB,STU-0009,PROD-A830AF13,,,Completed
ENR-61F67397,STU-0106,PROD-A830AF13,,,Completed
ENR-A7438B96,STU-0242,PROD-5B014189,,,Completed
ENR-2128F622,STU-0254,PROD-5B014189,,,Completed
ENR-A484895E,STU-0308,PROD-A830AF13,,,Completed
ENR-043E2EB2,STU-0311,PROD-5B014189,,,Completed
ENR-9E2CAC48,STU-0314,PROD-58705027,,,Active
ENR-523145EB,STU-0315,PROD-58705027,,,Active
ENR-F009AF9D,STU-0316,PROD-A830AF13,,,Active
ENR-D6F1945B,STU-0317,PROD-A830AF13,,,Active
ENR-19AE1502,STU-0318,PROD-58705027,,,Active
ENR-C4166B6D,STU-0319,PROD-A830AF13,,,Active
ENR-313699D3,STU-0320,PROD-A830AF13,,,Active
ENR-F7D21CBB,STU-0321,PROD-58705027,,,Active
ENR-FADE8DEF,STU-0322,PROD-58705027,,,Active
ENR-3C1690F8,STU-0323,PROD-A830AF13,,,Active
ENR-8AFBDC7F,STU-0324,PROD-A830AF13,,,Active
ENR-515EFFBF,STU-0325,PROD-58705027,,,Active
ENR-F6D77D8E,STU-0326,PROD-A830AF13,,,Active
ENR-CD1B630C,STU-0327,PROD-A830AF13,,,Active
ENR-71F730AF,STU-0328,PROD-58705027,,,Active
ENR-7B75E856,STU-0329,PROD-A830AF13,,,Active
ENR-923D5651,STU-0330,PROD-5B014189,,,Active
ENR-93E676CB,STU-0331,PROD-58705027,,,Active
ENR-3AD33043,STU-0332,PROD-5B014189,,,Active
ENR-F4855C5F,STU-0333,PROD-5B014189,,,Active
ENR-36004D09,STU-0334,PROD-5B014189,,,Active
ENR-D0E61092,STU-0335,PROD-5B014189,,,Active
ENR-69037860,STU-0336,PROD-5B014189,,,Active
ENR-096CB14A,STU-0337,PROD-5B014189,,,Active
ENR-221BDF39,STU-0338,PROD-5B014189,,,Active
ENR-ED200EBD,STU-0339,PROD-A830AF13,,,Active
ENR-3C0C745B,STU-0340,PROD-5B014189,,,Active
ENR-DE4D3290,STU-0341,PROD-5B014189,,,Active
ENR-0D0ED693,STU-0343,PROD-A830AF13,,,Active
ENR-75C70C63,STU-0344,PROD-58705027,,,Active
ENR-B6C1BF28,STU-0345,PROD-5B014189,,,Active
ENR-D64CE6A6,STU-0347,PROD-5B014189,,,Active
ENR-B13A5C36,STU-0348,PROD-5B014189,,,Active
ENR-B6465100,STU-0349,PROD-5B014189,,,Active
ENR-9A3C659F,STU-0350,PROD-5B014189,,,Active
ENR-1D70DFBA,STU-0351,PROD-5B014189,,,Active
ENR-9509BE59,STU-0352,PROD-A830AF13,,,Active
ENR-AD5CB361,STU-0354,PROD-5B014189,,,Active
ENR-28D9C8CC,STU-0355,PROD-5B014189,,,Active
ENR-97A66BB8,STU-0356,PROD-5B014189,,,Active
ENR-4A5CB2AD,STU-0357,PROD-58705027,,,Active
ENR-6F69E1E6,STU-0358,PROD-5B014189,,,Active
ENR-59C66CD8,STU-0359,PROD-A830AF13,,,Active
ENR-D14CC23F,STU-0360,PROD-A830AF13,,,Active
ENR-DCFC6025,STU-0361,PROD-5B014189,,,Active
ENR-E26A217B,STU-0362,PROD-A830AF13,,,Active
ENR-6E91778D,STU-0363,PROD-A830AF13,,,Active
ENR-FF8D33FF,STU-0364,PROD-5B014189,,,Active
ENR-F1AD50DF,STU-0365,PROD-A830AF13,,,Active
ENR-96B05A8D,STU-0366,PROD-5B014189,,,Active
ENR-F2C6F3CF,STU-0367,PROD-58705027,,,Active
ENR-4FFD0D57,STU-0368,PROD-A830AF13,,,Active
ENR-2449FF46,STU-0369,PROD-A830AF13,,,Active
ENR-0D4B6C46,STU-0370,PROD-A830AF13,,,Active
ENR-A7038B75,STU-0371,PROD-A830AF13,,,Active
ENR-56B22039,STU-0372,PROD-A830AF13,,,Active
ENR-C6AA3E1A,STU-0373,PROD-A830AF13,,,Active
ENR-82916581,STU-0374,PROD-58705027,,,Active
ENR-A1EEF67B,STU-0375,PROD-A830AF13,,,Active
ENR-FA7F2F7D,STU-0376,PROD-5B014189,,,Active
ENR-D7D9BEB0,STU-0377,PROD-58705027,,,Active
ENR-DF07F363,STU-0378,PROD-5B014189,,,Active
ENR-C384B4EF,STU-0379,PROD-5B014189,,,Active
ENR-CB4E22CE,STU-0380,PROD-A830AF13,,,Active
ENR-2114E26E,STU-0381,PROD-A830AF13,,,Active
ENR-22B9A98E,STU-0382,PROD-A830AF13,,,Active
ENR-36E33164,STU-0384,PROD-5B014189,,,Active
ENR-CEC88C80,STU-0385,PROD-A830AF13,,,Active
ENR-18497BC3,STU-0386,PROD-A830AF13,,,Active
ENR-8B2EB19A,STU-0387,PROD-58705027,,,Active
ENR-B681A9C4,STU-0388,PROD-5B014189,,,Active
ENR-2DF381CE,STU-0389,PROD-58705027,,,Active
ENR-5E46F78E,STU-0390,PROD-5B014189,,,Active
ENR-9CD9F2D9,STU-0391,PROD-5B014189,,,Active
ENR-AFBFF548,STU-0392,PROD-5B014189,,,Active
ENR-7D4B37DF,STU-0393,PROD-58705027,,,Active
ENR-0851C547,STU-0394,PROD-5B014189,,,Active
ENR-85000EC2,STU-0395,PROD-A830AF13,,,Active
ENR-F7200357,STU-0396,PROD-A830AF13,,,Active
ENR-9B997E9D,STU-0397,PROD-A830AF13,,,Active
ENR-184824B4,STU-0398,PROD-5B014189,,,Active
ENR-156CC577,STU-0399,PROD-58705027,,,Pending
ENR-0DA58E90,STU-0400,PROD-5B014189,,,Completed
ENR-471091EB,STU-0401,PROD-5B014189,,,Pending
ENR-8BC7C6B4,STU-0402,PROD-A830AF13,,,Active
ENR-2C649343,STU-0403,PROD-A830AF13,,,Active
ENR-62C69E9F,STU-0404,PROD-A830AF13,,,Pending
ENR-A8B8639C,STU-0405,PROD-5B014189,,,Active
ENR-FBA5E9C3,STU-0407,PROD-58705027,,,Pending
ENR-809E0C52,STU-0408,PROD-5B014189,,,Pending
ENR-B664FC31,STU-0410,PROD-5B014189,,,Active
ENR-B248B24A,STU-0411,PROD-A830AF13,,,Active
ENR-0029B064,STU-0412,PROD-A830AF13,,,Pending
ENR-8266189F,STU-0413,PROD-A830AF13,,,Pending
ENR-79FB4099,STU-0414,PROD-A830AF13,,,Pending
ENR-2BC078C7,STU-0416,PROD-A830AF13,,,Active
ENR-7AF01269,STU-0418,PROD-A830AF13,,,Pending
ENR-BDC38B98,STU-0419,PROD-5B014189,,,Pending
ENR-66E4E95E,STU-0421,PROD-A830AF13,,,Active
ENR-5C3606D2,STU-0424,PROD-A830AF13,,,Completed
ENR-D499E4E4,STU-0425,PROD-5B014189,,,Pending
ENR-A41CFD26,STU-0426,PROD-58705027,,,Pending
ENR-30D1F17F,STU-0427,PROD-5B014189,,,Pending
ENR-2E7030B7,STU-0428,PROD-58705027,,,Pending
ENR-18D3CBC2,STU-0429,PROD-5B014189,,,Pending
ENR-AEB1029C,STU-0430,PROD-A830AF13,,,Active
ENR-F2AE01BF,STU-0431,PROD-5B014189,,,Pending
ENR-38A61DC0,STU-0432,PROD-A830AF13,,,Pending
ENR-2DF38834,STU-0437,PROD-A830AF13,,,Active
ENR-780A948B,STU-0438,PROD-A830AF13,,,Pending
ENR-C5E8A961,STU-0439,PROD-58705027,,,Pending
ENR-0ECDA12A,STU-0440,PROD-58705027,,,Pending
